concept_id,code,source,datatype
1975,1623,MCL/CIEL,N/A
1975,1975,local,N/A
1976,1976,local,N/A
1977,1977,local,N/A
1978,1978,local,Coded
1979,1979,local,N/A
1980,1980,local,N/A
1981,1981,local,N/A
1982,1982,local,N/A
1983,1983,local,N/A
1984,1984,local,Coded
1985,1985,local,Coded
1986,1986,local,Coded
1987,159665,MCL/CIEL,Coded
1987,1987,local,Coded
1988,1988,local,N/A
1988,159663,MCL/CIEL,N/A
1989,1989,local,N/A
1989,159664,MCL/CIEL,N/A
1990,1990,local,N/A
1991,1991,local,N/A
1992,1992,local,Coded
1993,125872,MCL/CIEL,N/A
1993,1993,local,N/A
1994,1994,local,Coded
1995,1995,local,N/A
1996,1996,local,Coded
1997,1997,local,Coded
1998,1998,local,Coded
1999,1999,local,Coded
2000,2000,local,Coded
2001,2001,local,Coded
2002,2002,local,N/A
2003,2003,local,Coded
2003,159941,MCL/CIEL,Coded
2004,2004,local,Coded
2005,2005,local,Coded
2006,2006,local,N/A
2007,2007,local,Coded
2008,2008,local,Coded
2009,2009,local,Coded
2010,2010,local,Coded
2011,2011,local,Coded
2012,2012,local,Coded
2013,2013,local,Coded
2014,2014,local,Coded
2015,2015,local,Coded
2016,2016,local,Coded
2017,2017,local,N/A
2018,1391,MCL/CIEL,Text
2018,2018,local,Text
2019,2019,local,Coded
2020,152460,MCL/CIEL,Coded
2020,2020,local,Coded
2021,164500,MCL/CIEL,Coded
2021,2021,local,Coded
2022,2022,local,Coded
2023,2023,local,N/A
2024,2024,local,N/A
2025,2025,local,Numeric
2026,2026,local,N/A
2027,2027,local,Numeric
2028,163752,MCL/CIEL,Coded
2028,2028,local,Coded
2029,2029,local,N/A
2030,2030,local,N/A
2030,125886,MCL/CIEL,N/A
2031,159935,MCL/CIEL,Coded
2031,2031,local,Coded
2032,2032,local,N/A
2032,161879,MCL/CIEL,N/A
2033,2033,local,Coded
2034,2034,local,Coded
2035,2035,local,N/A
2036,2036,local,N/A
2036,162722,MCL/CIEL,N/A
2037,2037,local,N/A
2038,2038,local,N/A
2039,2039,local,N/A
2040,2040,local,N/A
2041,159431,MCL/CIEL,Date
2041,2041,local,Date
2042,975,MCL/CIEL,N/A
2042,2042,local,N/A
2043,2043,local,N/A
2043,162047,MCL/CIEL,N/A
2044,2044,local,N/A
2045,2045,local,Coded
2046,2046,local,N/A
2047,159940,MCL/CIEL,Coded
2047,2047,local,Coded
2048,2048,local,Coded
2048,159939,MCL/CIEL,Coded
2049,159938,MCL/CIEL,Coded
2049,2049,local,Coded
2050,159937,MCL/CIEL,N/A
2050,2050,local,N/A
2051,159936,MCL/CIEL,Coded
2051,2051,local,Coded
2052,160633,MCL/CIEL,N/A
2052,2052,local,N/A
2053,2053,local,N/A
2054,2054,local,N/A
2055,2055,local,Coded
2056,5632,MCL/CIEL,Coded
2056,2056,local,Coded
2057,2057,local,Numeric
2058,2058,local,N/A
2059,2059,local,N/A
2060,148989,MCL/CIEL,N/A
2060,2060,local,N/A
2061,160596,MCL/CIEL,Coded
2061,2061,local,Coded
2062,2062,local,Coded
2062,161803,MCL/CIEL,Coded
2062,145096,MCL/CIEL,Coded
2063,2063,local,Numeric
2064,2064,local,Text
2065,2065,local,Coded
2066,2066,local,Numeric
2067,2067,local,Numeric
2068,2068,local,Numeric
2069,1546,MCL/CIEL,Numeric
2069,2069,local,Numeric
2070,159931,MCL/CIEL,Numeric
2070,2070,local,Numeric
2071,2071,local,N/A
2072,2072,local,Coded
2073,2073,local,Coded
2074,1363,MCL/CIEL,N/A
2074,2074,local,N/A
2075,1364,MCL/CIEL,N/A
2075,2075,local,N/A
2076,2076,local,Coded
2077,2077,local,Numeric
2078,2078,local,N/A
2079,2079,local,N/A
2080,2080,local,Coded
2081,2081,local,N/A
2082,2082,local,Numeric
2083,159930,MCL/CIEL,Numeric
2083,2083,local,Numeric
2084,2084,local,N/A
2085,2085,local,Coded
2085,149086,MCL/CIEL,Coded
2086,2086,local,N/A
2087,2087,local,N/A
2088,2088,local,N/A
2089,2089,local,Coded
2090,1691,MCL/CIEL,Boolean
2090,2090,local,Boolean
2091,159912,MCL/CIEL,N/A
2091,2091,local,N/A
2092,113116,MCL/CIEL,N/A
2092,2092,local,N/A
2093,2093,local,N/A
2093,132387,MCL/CIEL,N/A
2094,2094,local,N/A
2095,2095,local,N/A
2096,2096,local,N/A
2097,2097,local,N/A
2098,2098,local,N/A
2099,2099,local,N/A
2100,2100,local,N/A
2101,2101,local,N/A
2102,2102,local,N/A
2103,2103,local,N/A
2104,2104,local,N/A
2105,2105,local,N/A
2106,2106,local,N/A
2107,2107,local,N/A
2108,2108,local,N/A
2109,2109,local,N/A
2110,2110,local,N/A
2111,2111,local,N/A
2112,2112,local,N/A
2113,2113,local,N/A
2114,2114,local,N/A
2115,2115,local,N/A
2116,2116,local,N/A
2117,2117,local,N/A
2118,2118,local,N/A
2119,2119,local,N/A
2120,2120,local,N/A
2121,2121,local,N/A
2122,2122,local,N/A
2123,2123,local,N/A
2124,2124,local,N/A
2125,2125,local,N/A
2126,2126,local,N/A
2127,2127,local,N/A
2128,2128,local,N/A
2129,2129,local,N/A
2130,2130,local,N/A
2131,2131,local,N/A
2132,2132,local,N/A
2133,2133,local,N/A
2134,2134,local,N/A
2135,2135,local,N/A
2136,2136,local,N/A
2137,2137,local,N/A
2138,2138,local,N/A
2139,2139,local,N/A
2140,2140,local,N/A
2141,2141,local,N/A
2142,2142,local,N/A
2143,2143,local,N/A
2144,2144,local,N/A
2145,2145,local,N/A
2146,2146,local,N/A
2147,2147,local,N/A
2148,2148,local,N/A
