concept_id,code,source,datatype,source_code
159616,289248003,"SNOMED CT",Numeric,"289248003SNOMED CT"
160429,2895,"PIH Malawi",Boolean,"2895PIH Malawi"
159935,292826004,"SNOMED MVP",Coded,"292826004SNOMED MVP"
1425,298057009,"SNOMED NP",Numeric,"298057009SNOMED NP"
1572,2997,PIH,Coded,2997PIH
1572,2997,"PIH Malawi",Coded,"2997PIH Malawi"
299,299,AMPATH,Coded,299AMPATH
299,299,CIEL,Coded,299CIEL
159495,3003,PIH,Text,3003PIH
300,300,AMPATH,Coded,300AMPATH
300,300,CIEL,Coded,300CIEL
162064,301937002,"SNOMED NP",Coded,"301937002SNOMED NP"
21,301,AMPATH,Numeric,301AMPATH
159917,302080006,"SNOMED CT",Coded,"302080006SNOMED CT"
160750,302147001,"SNOMED NP",Text,"302147001SNOMED NP"
118983,302226006,"SNOMED CT",Coded,"302226006SNOMED CT"
302,302,AMPATH,Coded,302AMPATH
302,302,CIEL,Coded,302CIEL
1560,303071001,"SNOMED CT",Coded,"303071001SNOMED CT"
1319,30364-4,LOINC,Numeric,30364-4LOINC
302,303,AMPATH,Coded,303AMPATH
304,304,AMPATH,Coded,304AMPATH
304,304,CIEL,Coded,304CIEL
160540,305056002,"SNOMED NP",Coded,"305056002SNOMED NP"
307,3071000105005,"SNOMED MVP",Coded,"3071000105005SNOMED MVP"
307,307,AMPATH,Coded,307AMPATH
307,307,CIEL,Coded,307CIEL
1436,3082,PIH,Coded,3082PIH
307,308,AMPATH,Coded,308AMPATH
160535,309037001,"SNOMED NP",Text,"309037001SNOMED NP"
160562,309298003,"SNOMED NP",Coded,"309298003SNOMED NP"
1169,30,AMPATH,Coded,30AMPATH
112603,31005483,"IMO ProblemIT",Coded,"31005483IMO ProblemIT"
160581,313424005,"SNOMED NP",Coded,"313424005SNOMED NP"
5497,313660005,"SNOMED CT",Numeric,"313660005SNOMED CT"
730,313938009,"SNOMED CT",Numeric,"313938009SNOMED CT"
160582,3140,PIH,Coded,3140PIH
5089,3141-9,LOINC,Numeric,3141-9LOINC
856,315124004,"SNOMED CT",Numeric,"315124004SNOMED CT"
1305,315124004,"SNOMED NP",Coded,"315124004SNOMED NP"
159427,31676001,"SNOMED NP",Coded,"31676001SNOMED NP"
1123,3238,PIH,Coded,3238PIH
159616,32396-4,LOINC,Numeric,32396-4LOINC
730,32917475,"IMO ProcedureIT",Numeric,"32917475IMO ProcedureIT"
32,32,AMPATH,Coded,32AMPATH
32,32,CIEL,Coded,32CIEL
307,33331312,"IMO ProcedureIT",Coded,"33331312IMO ProcedureIT"
1054,3350,PIH,Coded,3350PIH
160855,33633005,"SNOMED CT",Coded,"33633005SNOMED CT"
12,3386,PIH,Coded,3386PIH
984,33879002,"SNOMED CT",Coded,"33879002SNOMED CT"
5219,33962009,"SNOMED CT",Coded,"33962009SNOMED CT"
160531,33962009,"SNOMED NP",Text,"33962009SNOMED NP"
654,34608000,"SNOMED NP",Numeric,"34608000SNOMED NP"
159376,3461,PIH,Date,3461PIH
5086,35094-2,LOINC,Numeric,35094-2LOINC
162877,364313002,"SNOMED NP",Coded,"364313002SNOMED NP"
1053,364325004,"SNOMED CT",Numeric,"364325004SNOMED CT"
5916,364589006,"SNOMED CT",Numeric,"364589006SNOMED CT"
162549,364713004,"SNOMED NP",Date,"364713004SNOMED NP"
1151,364769008,"SNOMED CT",Coded,"364769008SNOMED CT"
1054,365581002,"SNOMED CT",Coded,"365581002SNOMED CT"
160433,365860008,"SNOMED NP",Coded,"365860008SNOMED NP"
5596,366322004,"SNOMED CT",Date,"366322004SNOMED CT"
1572,366344009,"SNOMED CT",Coded,"366344009SNOMED CT"
158728,370854007,"SNOMED CT",N/A,"370854007SNOMED CT"
160246,371422002,"SNOMED CT",Coded,"371422002SNOMED CT"
1174,373929005,"SNOMED CT",Boolean,"373929005SNOMED CT"
374,374,AMPATH,Coded,374AMPATH
374,374,CIEL,Coded,374CIEL
374,374,PIH,Coded,374PIH
